OBJECTID,Name,Descriptio,Type,creation_d,modificati,feature_gu,lon,lat
1,,,,2025/09/05 00:25:31.000,2025/09/05 00:25:31.000,8F468CA0-DAEA-4868-B275-EA863F5DA6FD,144.3074858,-37.6020961
2,,,,2025/09/05 00:26:18.000,2025/09/05 00:26:18.000,57F1760F-DA92-4CF9-979A-86ED4C4E5658,144.3075580,-37.6020713
3,,,,2025/09/05 00:27:39.000,2025/09/05 00:27:39.000,05E14B4B-7E41-4620-8D15-6A15CBA6C372,144.3075481,-37.6020519
4,,,,2025/09/05 00:29:33.000,2025/09/05 00:29:33.000,B809CB31-F113-450D-A298-335D63B42793,144.3075528,-37.6019750
5,,,,2025/09/05 00:44:56.000,2025/09/05 00:44:56.000,B276CAB4-D64C-4EA4-9816-20776943C2FE,144.3074667,-37.6016748
6,,,,2025/09/05 00:45:35.000,2025/09/05 00:45:35.000,CB0713EB-5B40-4F76-89F3-7429CE86D0AA,144.3075997,-37.6015795
7,,,,2025/09/05 00:49:50.000,2025/09/05 00:49:50.000,76E09A60-9590-4668-99B8-DC2D0FEF2388,144.3077277,-37.6015036
8,,,,2025/09/05 00:51:21.000,2025/09/05 00:51:21.000,AB5F40E7-EC53-49AC-A30D-7CE6546A2574,144.3079319,-37.6014251
9,,,,2025/09/05 00:59:07.000,2025/09/05 00:59:07.000,8C480CA6-74B4-46BF-B520-5973C5590D89,144.3073017,-37.6022130
10,,,,,,,144.3076545,-37.6019780
11,,,,,,,144.3076056,-37.6020164
12,,,,,,,144.3074782,-37.6020145
13,,,,,,,144.3075036,-37.6019027
14,,,,,,,144.3075184,-37.6018868
15,,,,,,,144.3075191,-37.6017689
16,,,,,,,144.3075604,-37.6021739
17,,,,,,,144.3075723,-37.6021148
18,,,,,,,144.3073676,-37.6021526
19,,,,,,,144.3073830,-37.6020441
20,,,,,,,144.3074030,-37.6020333
21,,,,,,,144.3074219,-37.6019503
22,,,,,,,144.3077990,-37.6014432
